"Item_ID","Part_Name","Qty","Category","Material","Manufacturing_Method","Fastener_Size","Selected_Component","Status","Notes"
"B-040","J4_ProximalBearingHousing","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-041","J4_ProximalBearing","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 22.2x32x10"
"B-042","J4_DistalBearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-043","J4_DistalBearingHousing","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-044","J4_DistalBearing","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 22.2x32x10"
"B-045","Forearm_CentralBox","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-046","Forearm_RemovableCover","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-047","J4_MotorOutputAdapter","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-048","J4_TorqueTube","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-049","J4_DistalOutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-050","J5_CompactStatorSupport","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL compact wrist; hardware and loads unverified"
"B-051","J5_RemovableBearingSeat","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL compact wrist; hardware and loads unverified"
"B-052","J5_OutputSupportBearing","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 15x32x9; single outboard support plus motor internal bearings"
"B-053","J5_BearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL compact wrist; hardware and loads unverified"
"B-054","J5_ShortOutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL compact wrist; hardware and loads unverified"
"B-055","J6_OnePieceConnector","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","ONE-PIECE metal flange/web/ring connector; process, stiffness and preload unverified"
"B-056","J6_OutputBearing","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 15x32x9"
"B-057","J6_BearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL compact wrist; hardware and loads unverified"
"B-058","J6_ShortOutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","Metal output neck installed with motor from rear; support seat remains on connector"
"B-059","J6_RemovableToolAdapter","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","Removable split-clamp tool adapter, 13 mm engagement; axial retention and torque capacity provisional"
"B-060","M3_Bolt","109","FASTENER","Steel TBD","Purchased","M3","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-061","M3_HeadWasher","29","FASTENER","Steel TBD","Purchased","M3","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-062","M3_LockNut","51","FASTENER","Steel TBD","Purchased","M3","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-063","M3_NutWasher","29","FASTENER","Steel TBD","Purchased","M3","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-064","M4_Bolt","65","FASTENER","Steel TBD","Purchased","M4","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-065","M4_HeadWasher","20","FASTENER","Steel TBD","Purchased","M4","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-066","M4_LockNut","22","FASTENER","Steel TBD","Purchased","M4","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-067","M4_NutWasher","20","FASTENER","Steel TBD","Purchased","M4","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-068","M5_Bolt","4","FASTENER","Steel TBD","Purchased","M5","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-069","M5_HeadWasher","4","FASTENER","Steel TBD","Purchased","M5","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-070","M5_LockNut","4","FASTENER","Steel TBD","Purchased","M5","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-071","M5_NutWasher","4","FASTENER","Steel TBD","Purchased","M5","TBD supplier","HARDWARE_VERIFY","Installed envelopes; bolt length TBD; each instance traced by fastener_schedule; washer envelope is provisional"
"B-072","FourWayNutBlock","0","CATALOG","Metal TBD","Purchased","M4","2-M4*8-H10*22","PROVISIONAL / IMAGE SPECIFICATION","User will purchase fifth row. 90 degree independent-plate connections only. Current interfaces are parallel stacks or integral ribs, installed0. Hole depths TBD."
