"Fastener_ID","Joint","Part_A","Part_B","Screw_Size","Qty","Screw_Type","Part_A_Hole","Receiver_Type","Nut_Type","Washer","Insertion_Direction","Tool_Access_Direction","Tool","Serviceable","Status","Notes"
"F-J2-005","J2","J2_OutputCheek","Upper_CentralBox","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(1, 0, 0) in upper","(-1, 0, 0) in upper","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Parallel flange stack uses M4 bolts/lock nuts; local straight driver channel in cheek. | removal prerequisites: detached rigid subassembly; Upper_RemovableCover | Nut entry (0, 1, 0)"
"F-J2-006","J2","J2_OppositeForkCheek","Upper_CentralBox","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(1, 0, 0) in upper","(-1, 0, 0) in upper","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Parallel flange stack uses M4 bolts/lock nuts; local straight driver channel in cheek. | removal prerequisites: detached rigid subassembly; Upper_RemovableCover | Nut entry (0, -1, 0)"
"F-J2-007","J2","J2_OppositeForkCheek","J2_ShortBearingStub","M3","4","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, -1, 0) in upper","(0, 1, 0) in upper","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Reverse bolt direction and recessed heads preserve the fixed retainer clearance. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, -1, 0)"
"F-J2-008","J2","J2_BearingRetainer","J2_OppositeBearingPedestal","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(0, 1, 0) in yaw","(0, -1, 0) in yaw","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Side-entry replaceable hex nuts; no plastic thread. Moving opposite cheek has a local annular head relief. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry RADIAL_Y"
"F-J3-001","J3","J3_StatorMount","J3_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in upper","(0.0, 1.0, 0.0) in upper","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry None"
"F-J3-002","J3","J3_OutputForkCheek","J3_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in fore","(0.0, 1.0, 0.0) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly;  | Nut entry None"
"F-J3-003","J3","Forearm_CentralBox","J3_OutputForkCheek","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(-1, 0, 0) in fore","(1, 0, 0) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Parallel stack; reversed insertion outside box sides avoids J4 motor and cable duct. Image M4 block is for perpendicular independent plates only. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover | Nut entry (0, 1, 0)"
"F-J3-004","J3","Forearm_CentralBox","J3_OppositeForkCheek","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(-1, 0, 0) in fore","(1, 0, 0) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Parallel stack; reversed insertion outside box sides avoids J4 motor and cable duct. Image M4 block is for perpendicular independent plates only. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover | Nut entry (0, -1, 0)"
"F-J3-005","J3","J3_OppositeForkCheek","J3_ShortBearingStub","M3","4","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, -1, 0) in fore","(0, 1, 0) in fore","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Reverse bolt direction and recessed heads preserve the fixed retainer clearance. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, -1, 0)"
"F-J3-006","J3","J3_BearingRetainer","J3_FixedBearingSupport","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(0, 1, 0) in upper","(0, -1, 0) in upper","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Side-entry replaceable hex nuts; no plastic thread. Moving opposite cheek has a local annular head relief. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry RADIAL_Y"
"F-J3-007","J3","J3_StatorMount","J3_FixedBearingSupport","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, -1, 0) in upper","(0, 1, 0) in upper","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Through upper diaphragm; 2 bolts retain both fixed supports, independent of the cover. | removal prerequisites: detached rigid subassembly; Upper_RemovableCover | Nut entry (0, -1, 0)"
"F-J3-008","J3","Upper_RemovableCover","Upper_CentralBox","M3","8","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, -1, 0) in upper","(0, 1, 0) in upper","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Nut is removable through the open cover side; 8 M3 only. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 1, 0)"
"F-J4-001","J4","J4_ProximalStatorHousing","J4_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-1.0, -0.0, -0.0) in fore","(1.0, 0.0, 0.0) in fore","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS, J3_OutputForkCheek, J3_OppositeForkCheek, Forearm_CentralBox | Nut entry None"
"F-J4-002","J4","J4_MotorOutputAdapter","J4_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-1.0, -0.0, -0.0) in roll","(1.0, 0.0, 0.0) in roll","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly; J5_RemovableBearingSeat, J5_OutputSupportBearing, J5_BearingRetainer, J4_TorqueTube | Nut entry None"
"F-J4-003","J4","J4_ProximalStatorHousing","J3_OutputForkCheek","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(-1, 0, 0) in fore","(1, 0, 0) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 1, 0)"
"F-J4-004","J4","J4_ProximalStatorHousing","J3_OppositeForkCheek","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(-1, 0, 0) in fore","(1, 0, 0) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly;  | Nut entry (0, -1, 0)"
"F-J4-005","J4","J4_ProximalBearingRetainer","J4_ProximalBearingHousing","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(1, 0, 0) in fore","(-1, 0, 0) in fore","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Small cap/seat bosses move M3 heads clear of rotating clamp. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover, J4_ProximalStatorHousing, J4_CyberGear_Stator, J3_OutputForkCheek, J3_OppositeForkCheek | Nut entry RADIAL_X"
"F-J4-006","J4","J4_ProximalBearingHousing","Forearm_CentralBox","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in fore","(0, 0, 1) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Local mounting ears overlap bottom wall; lock nuts underneath. Distal screws/nuts seat directly on local pads without washers to clear retainer; bearing stress requires first-article review. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover | Nut entry (0, 0, -1)"
"F-J4-007","J4","J4_DistalBearingRetainer","J4_DistalBearingHousing","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(1, 0, 0) in fore","(-1, 0, 0) in fore","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Small cap/seat bosses move M3 heads clear of rotating clamp. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover | Nut entry RADIAL_X"
"F-J4-008","J4","J4_DistalBearingHousing","Forearm_CentralBox","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(0, 0, -1) in fore","(0, 0, 1) in fore","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Local mounting ears overlap bottom wall; lock nuts underneath. Distal screws/nuts seat directly on local pads without washers to clear retainer; bearing stress requires first-article review. | removal prerequisites: detached rigid subassembly; Forearm_RemovableCover, J4_DistalBearingRetainer | Nut entry (0, 0, -1)"
"F-J4-009","J4","J4_MotorOutputAdapter","J4_MotorOutputAdapter","M3","1","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in roll","(0, 0, 1) in roll","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Existing split clamp; distal M3 metal thread avoids cable divider; torque capacity provisional. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 0, -1)"
"F-J4-010","J4","J4_DistalOutputHub","J4_DistalOutputHub","M3","1","ISO4762 envelope / length TBD","Upper jaw diameter 3.4 through to split; lower jaw diameter 2.5 M3 tap pilot; depth TBD","METAL_TAPPED_THREAD","NONE","None / direct seat","(0, 0, -1) in roll","(0, 0, 1) in roll","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Existing split clamp; distal M3 metal thread avoids cable divider; torque capacity provisional. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 0, -1) | Do not clearance-drill both clamp jaws."
"F-J4-011","J4","Forearm_RemovableCover","Forearm_CentralBox","M3","6","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in fore","(0, 0, 1) in fore","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Nut is removable after lifting the cover; 6 M3 only. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 0, 1)"
"F-J5-001","J5","J5_CompactStatorSupport","J5_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in roll","(0.0, 1.0, 0.0) in roll","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS, J5_RemovableBearingSeat | Nut entry None"
"F-J5-002","J5","J5_ShortOutputHub","J5_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in pitch","(0.0, 1.0, 0.0) in pitch","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly; J6_OnePieceConnector, J6_OutputBearing, J6_BearingRetainer | Nut entry None"
"F-J5-003","J5","J5_CompactStatorSupport","J4_DistalOutputHub","M4","3","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","METAL_TAPPED_THREAD","NONE","None / direct seat","(-1, 0, 0) in roll","(1, 0, 0) in roll","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly; J5_OutputSupportBearing, J5_BearingRetainer, J5_RemovableBearingSeat, J5_CyberGear_Stator | Nut entry None"
"F-J5-004","J5","J5_RemovableBearingSeat","J5_CompactStatorSupport","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","METAL_TAPPED_THREAD","NONE","None / direct seat","(0, -1, 0) in roll","(0, 1, 0) in roll","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly;  | Nut entry None"
"F-J5-005","J5","J5_BearingRetainer","J5_RemovableBearingSeat","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(0, -1, 0) in roll","(0, 1, 0) in roll","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","One mm cap lip and recessed standard heads; replaceable side-entry metal nuts. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry RADIAL_Y"
"F-J5-006","J5","J6_OnePieceConnector","J6_OnePieceConnector","M3","1","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in pitch","(0, 0, 1) in pitch","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Existing clamp remains provisional. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 0, -1)"
"F-J6-001","J6","J6_OnePieceConnector","J6_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-1.0, -0.0, -0.0) in pitch","(1.0, 0.0, 0.0) in pitch","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS, J6_OutputBearing, J6_BearingRetainer | Nut entry None"
"F-J6-002","J6","J6_ShortOutputHub","J6_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-1.0, -0.0, -0.0) in tool","(1.0, 0.0, 0.0) in tool","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly; J6_RemovableToolAdapter | Nut entry None"
"F-J6-003","J6","J6_BearingRetainer","J6_OnePieceConnector","M3","3","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(-1, 0, 0) in pitch","(1, 0, 0) in pitch","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly;  | Nut entry RADIAL_X"
"F-J6-004","J6","J6_RemovableToolAdapter","J6_RemovableToolAdapter","M3","1","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in tool","(0, 0, 1) in tool","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","13 mm overlap remains provisional; no new transmission concept. | removal prerequisites: detached rigid subassembly;  | Nut entry (0, 0, -1)"
